"","X.W..Pollock.model","X.W..Pollock.species","X.W..Pollock.type","X.W..Pollock.year","X.W..Pollock.Age.1","X.W..Pollock.Age.2","X.W..Pollock.Age.3","X.W..Pollock.Age.4","X.W..Pollock.Age.5","X.W..Pollock.Age.6","X.W..Pollock.Age.7","X.W..Pollock.Age.8","X.W..Pollock.Age.9","X.W..Pollock.Age.10","X.W..Pollock.Age.11","X.W..Pollock.Age.12","P..Cod.model","P..Cod.species","P..Cod.type","P..Cod.year","P..Cod.Age.1","P..Cod.Age.2","P..Cod.Age.3","P..Cod.Age.4","P..Cod.Age.5","P..Cod.Age.6","P..Cod.Age.7","P..Cod.Age.8","P..Cod.Age.9","P..Cod.Age.10","P..Cod.Age.11","P..Cod.Age.12","Arrowtooth.model","Arrowtooth.species","Arrowtooth.type","Arrowtooth.year","Arrowtooth.Age.1","Arrowtooth.Age.2","Arrowtooth.Age.3","Arrowtooth.Age.4","Arrowtooth.Age.5","Arrowtooth.Age.6","Arrowtooth.Age.7","Arrowtooth.Age.8","Arrowtooth.Age.9","Arrowtooth.Age.10","Arrowtooth.Age.11","Arrowtooth.Age.12","Arrowtooth.Age.13","Arrowtooth.Age.14","Arrowtooth.Age.15","Arrowtooth.Age.16","Arrowtooth.Age.17","Arrowtooth.Age.18","Arrowtooth.Age.19","Arrowtooth.Age.20","Arrowtooth.Age.21"
"1","mode"," W. Pollock","M2",1979,0.634223,0.0261056,0.0148154,0.00805972,0.00247821,0.00277412,0.00187843,0.00332796,0.0016408,0,0.00151179,0.00100178,"mode","P. Cod","M2",1979,0.100061,0.0124523,0.00176653,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1979,0.158787,0.0202379,0.00828413,0.00307062,0.00116155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","mode"," W. Pollock","M2",1980,0.872831,0.0248573,0.0125207,0.00670143,0.00180509,0.00229306,0.00171439,0.00254129,0.00189262,0,0.000933184,0.00117388,"mode","P. Cod","M2",1980,0.140019,0.0137087,0.000862761,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1980,0.259232,0.0302048,0.00745304,0.00247463,0.000991882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","mode"," W. Pollock","M2",1981,1.01229,0.0325831,0.0146261,0.00867506,0.00245278,0.00270701,0.00248061,0.00308178,0.0030883,0,0.000831309,0.00129537,"mode","P. Cod","M2",1981,0.251122,0.0130473,0.000749557,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1981,0.372065,0.0246525,0.0166502,0.00272399,0.00241638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","mode"," W. Pollock","M2",1982,1.40512,0.0649139,0.0293786,0.0159257,0.00500193,0.00591259,0.00461122,0.00526611,0.00538029,0,0.000835599,0.00374333,"mode","P. Cod","M2",1982,0.410539,0.0368143,0.000613646,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1982,0.498825,0.0191265,0.0470466,0.00315702,0.00202359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","mode"," W. Pollock","M2",1983,1.14601,0.0581648,0.0281574,0.0161506,0.00460806,0.00547382,0.00550424,0.00534007,0.00713801,0,0.00136945,0.00490853,"mode","P. Cod","M2",1983,0.311373,0.0465871,0.000549796,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1983,0.392069,0.012839,0.0421528,0.00239476,0.00326604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","mode"," W. Pollock","M2",1984,1.33215,0.0633691,0.0318622,0.0200276,0.00515877,0.00574069,0.00830805,0.00604884,0.011534,0,0.000976989,0.00570616,"mode","P. Cod","M2",1984,0.29893,0.0621014,0.00104258,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1984,0.382815,0.0362896,0.0317329,0.00352209,0.0086077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","mode"," W. Pollock","M2",1985,1.36982,0.0616687,0.0312844,0.0202218,0.00558651,0.00601598,0.00812446,0.00642484,0.010703,0,0.00161745,0.00383745,"mode","P. Cod","M2",1985,0.348249,0.0556982,0.000735971,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1985,0.506078,0.0203675,0.0193927,0.00409219,0.0102725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","mode"," W. Pollock","M2",1986,1.50676,0.0709838,0.0354443,0.0223382,0.00712356,0.00721407,0.00743642,0.00720799,0.00880906,0,0.00336869,0.0027906,"mode","P. Cod","M2",1986,0.3807,0.0545962,0.00125226,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1986,0.51746,0.0226003,0.0267711,0.00337328,0.00811481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","mode"," W. Pollock","M2",1987,1.74589,0.105748,0.0557743,0.0352898,0.012295,0.0122568,0.0101936,0.0136314,0.010526,0,0.00837059,0.0057116,"mode","P. Cod","M2",1987,0.504671,0.071544,0.00492427,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1987,0.531816,0.0273115,0.0668021,0.00469816,0.00787255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","mode"," W. Pollock","M2",1988,1.6736,0.114411,0.0598325,0.0346073,0.0102518,0.0109417,0.0117016,0.0115577,0.0136875,0,0.00563387,0.00947908,"mode","P. Cod","M2",1988,0.395437,0.111112,0.00669605,0,0,0,0,0,0,0,0,0,"mode","Arrowtooth","M2",1988,0.696972,0.0182706,0.0412874,0.00610781,0.00573314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
