#Covars (covariate phase for each covs - do not alter this line)
# Winter_pH_depthavg # Spring_vNorth_surface5m # Spring_uEast_surface5m # Winter_temp_surface5m # Spring_temp_surface5m # Summer_temp_surface5m # Fall_temp_surface5m # Winter_temp_bottom5m # Spring_temp_bottom5m # Summer_temp_bottom5m # Fall_temp_bottom5m # annual_temp_surface5m # annual_temp_bottom5m # Winter_NE_winds # Spring_NE_winds # Summer_NE_winds # Fall_NE_winds # annual_NE_winds # Summer_fracbelow1 # Summer_fracbelow2 # Spring_PhL_integrated # Spring_PhS_integrated # Winter_oxygen_bottom5m # Spring_oxygen_bottom5m # Summer_oxygen_bottom5m # Fall_oxygen_bottom5m # Winter_Cop_integrated # Spring_Cop_integrated # Summer_Cop_integrated # Fall_Cop_integrated # Winter_EupS_integrated # Spring_EupS_integrated # Summer_EupS_integrated # Fall_EupS_integrated # Winter_NCaS_integrated # Spring_NCaS_integrated # Summer_NCaS_integrated # Fall_NCaS_integrated # Winter_largeZoop_integrated # Spring_largeZoop_integrated # Summer_largeZoop_integrated # Fall_largeZoop_integrated
#nspp2 : 
3
#nTyrs : number years for the zooplankton hindcast data 
45
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023
#ncov : number of covariates 
42
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
# Winter_pH_depthavg : Winter_pH_depthavg
1.219613 1.806993 1.051054 1.194445 1.287147 0.7534825 1.015184 1.041665 0.7798474 0.7825982 0.9710347 1.005038 1.049848 0.9809631 0.8378454 0.6026546 0.710837 0.4873025 0.8154768 0.4673248 -0.05035421 -0.5299256 -0.364192 0.2140086 -0.06394616 0.08384134 -0.2973938 -0.2633523 -0.8908 -1.232127 -1.321484 -0.7353311 -0.7906147 -0.5737768 -1.819837 -1.610147 -1.1436 -1.204384 -0.6527155 -1.362938 -1.789879 -1.230703 -1.230703 -4.944617e-15 -4.944617e-15
# Spring_vNorth_surface5m : Spring_vNorth_surface5m
0.7458051 0.2703693 -0.2173069 0.8561104 0.6784103 -0.3671662 -0.5652016 0.3072696 -1.535025 0.01546465 0.3020541 -0.3545536 -0.4209415 1.44173 -0.508542 -2.012364 -0.4540533 -0.3311842 1.029366 -0.4102962 -1.043534 0.3581834 -1.907944 0.728327 0.7907438 1.384742 0.8623464 -2.221714 -1.914926 -0.08737123 0.8289679 -0.2724295 0.3188542 -1.534401 -0.04876093 -0.5358126 -0.6462 0.2714776 0.7292041 1.246877 0.8567047 1.835063 1.531657 1.316171e-17 1.316171e-17
# Spring_uEast_surface5m : Spring_uEast_surface5m
1.775425 -0.009910092 0.395381 1.046767 -0.5177769 -1.225278 0.333084 -0.6184259 -0.330913 0.1342117 1.084448 0.204218 -1.183326 -0.6779374 -1.855541 -1.372726 -0.7776183 0.4020063 0.06530797 2.564155 1.303037 -0.6753425 1.171968 1.092941 2.01599 0.6237024 -1.679844 0.341184 -1.35232 0.3861879 0.0760271 0.01688047 -0.1302053 -0.4780587 -0.7557943 0.03518664 1.520159 0.0107328 0.01808544 -0.6949843 -1.378985 -0.03072227 -0.8713757 9.640827e-17 9.640827e-17
# Winter_temp_surface5m : Winter_temp_surface5m
1.882301 0.2479667 0.9799114 0.790256 0.4274515 0.6790819 1.548986 0.286071 0.9746183 0.5775979 0.07881094 -0.2918862 -0.6916531 -0.2792023 -0.1137538 0.6471747 -0.2818041 -0.0413291 -0.4998609 -0.6786891 -0.6488993 -1.564545 1.27597 -0.9813352 0.9932771 0.6086882 0.6827589 -0.8766517 -0.9784555 -1.71154 -1.68846 -0.813812 -0.8442204 -1.885467 -1.63409 -0.1868211 1.554979 2.030829 0.8064659 0.589384 0.4889409 -1.029281 -0.4297615 -9.099104e-17 -9.099104e-17
# Spring_temp_surface5m : Spring_temp_surface5m
