#Covars (covariate phase for each covs - do not alter this line)
# fall_Cop_integrated # fall_Cop_surface5m # fall_Eup_tot_integrated # fall_Eup_tot_surface5m # fall_Ztot_large_integrated # fall_Ztot_large_surface5m # spring_Cop_integrated # spring_Cop_surface5m # spring_Eup_tot_integrated # spring_Eup_tot_surface5m # spring_Ztot_large_integrated # spring_Ztot_large_surface5m # srvy_rep_aice # srvy_rep_Ben # srvy_rep_Cop_integrated # srvy_rep_Cop_surface5m # srvy_rep_DetBen # srvy_rep_Eup_tot_integrated # srvy_rep_Eup_tot_surface5m # srvy_rep_EupO_integrated # srvy_rep_EupO_surface5m # srvy_rep_EupS_integrated # srvy_rep_EupS_surface5m # srvy_rep_hice # srvy_rep_Hsbl # srvy_rep_IceNH4 # srvy_rep_IceNO3 # srvy_rep_IcePhL # srvy_rep_Jel_integrated # srvy_rep_Jel_surface5m # srvy_rep_MZL_integrated # srvy_rep_MZL_surface5m # srvy_rep_NCa_tot_integrated # srvy_rep_NCa_tot_surface5m # srvy_rep_NCaO_integrated # srvy_rep_NCaO_surface5m # srvy_rep_NCaS_integrated # srvy_rep_NCaS_surface5m # srvy_rep_PhL_integrated # srvy_rep_PhL_surface5m # srvy_rep_PhS_integrated # srvy_rep_PhS_surface5m # srvy_rep_salt_surface5m # srvy_rep_shflux # srvy_rep_ssflux # srvy_rep_temp_bottom5m # srvy_rep_temp_surface5m # srvy_rep_Ztot_large_integrated # srvy_rep_Ztot_large_surface5m # summer_Cop_integrated # summer_Cop_surface5m # summer_Eup_tot_integrated # summer_Eup_tot_surface5m # summer_Ztot_large_integrated # summer_Ztot_large_surface5m # winter_Cop_integrated # winter_Cop_surface5m # winter_Eup_tot_integrated # winter_Eup_tot_surface5m # winter_Ztot_large_integrated # winter_Ztot_large_surface5m
#nspp : number of species
3  
#nyrs : number years for the hindcast data
44  
#hind_years : years for the hindcast data(Tyrs)
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022
#ncov : number of variates 2 for south OL and OL of plk and at  
61  
#nEatcovs  
1  
#Eat_covs  
3  
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
# fall_Cop_integrated :
-0.2286717 0.2115961 -1.561233 0.1800336 1.411909 -1.057935 -0.7188978 0.3324491 -0.6368714 0.5676945 -1.320897 -1.247384 -0.3555849 -0.8954307 -0.328312 1.762026 -0.3560775 -0.9562324 -0.2841708 1.928202 0.2261191 0.6285618 0.2684779 -0.8810093 -0.961849 -1.761033 0.07460757 2.102512 2.903689 0.8354087 1.024924 1.3388 1.093687 2.41514 0.6802044 0.7565383 -0.1659065 -0.6154977 0.2641743 -2.635868 -0.7077103 -0.7077103 -0.7077103 -0.707710
# fall_Cop_surface5m :
-0.5811582 0.02499076 -1.613902 -0.1627818 1.141367 -0.6820683 -1.056226 0.4054625 -0.8120092 0.8411358 -1.543916 -1.338944 -0.1334014 -1.112573 -0.6768595 0.9304688 0.3743171 -0.8516348 -0.03340145 1.834107 0.9351142 1.085784 0.5856207 -0.4245389 -0.6127454 -1.540502 0.5117276 3.1459 3.607182 1.314496 1.637901 2.482826 1.561305 2.651391 1.333156 1.090033 0.2303514 -0.438594 0.3908513 -2.288147 -0.3439687 -0.3439687 -0.3439687 -0.343968
# fall_Eup_tot_integrated :
-0.3601634 0.1424174 -1.543334 0.1155879 1.348921 -1.009821 -0.6642568 0.3486744 -0.6572714 0.4976414 -1.358457 -1.271947 -0.4257287 -0.8657492 -0.3876151 1.789599 -0.3230419 -0.9386414 -0.2424742 1.881209 0.4044837 0.6279208 0.3860253 -0.9124374 -0.976704 -1.726912 0.1339518 2.063372 2.848067 0.993026 1.15544 1.36124 1.143712 2.600377 0.708208 0.7555468 -0.2300563 -0.7308568 0.2538248 -2.684426 -0.7821331 -0.7821331 -0.7821331 -0.782133
# fall_Eup_tot_surface5m :
