#Models
# hindcast # H16_CMIP5_CESM_BIO_rcp85 # H16_CMIP5_CESM_rcp45 # H16_CMIP5_CESM_rcp85 # H16_CMIP5_GFDL_BIO_rcp85 # H16_CMIP5_GFDL_rcp45 # H16_CMIP5_GFDL_rcp85 # H16_CMIP5_MIROC_rcp45 # H16_CMIP5_MIROC_rcp85 # K20P19_CMIP5_CESM_rcp45 # K20P19_CMIP5_CESM_rcp85 # K20P19_CMIP5_GFDL_rcp45 # K20P19_CMIP5_GFDL_rcp85 # K20P19_CMIP5_MIROC_rcp45 # K20P19_CMIP5_MIROC_rcp85 # K20P19_CMIP6_cesm_ssp126 # K20P19_CMIP6_cesm_ssp585 # K20P19_CMIP6_gfdl_ssp126 # K20P19_CMIP6_gfdl_ssp585 # K20P19_CMIP6_miroc_ssp126 # K20P19_CMIP6_miroc_ssp585
#nEatcovs
1
#Eat_covs
3
#n_fut_itr : number of future temperature simulations 
21
#nyrs_fut : (1, n_fut_itr) number years for the zooplankton data 
79
#fut_years : matrix(n_fut_itr,nyrs_fut) years for the zooplankton data 
2022 2023 2024 2025 2026 2027 2028 2029 2030 2031 2032 2033 2034 2035 2036 2037 2038 2039 2040 2041 2042 2043 2044 2045 2046 2047 2048 2049 2050 2051 2052 2053 2054 2055 2056 2057 2058 2059 2060 2061 2062 2063 2064 2065 2066 2067 2068 2069 2070 2071 2072 2073 2074 2075 2076 2077 2078 2079 2080 2081 2082 2083 2084 2085 2086 2087 2088 2089 2090 2091 2092 2093 2094 2095 2096 2097 2098 2099 2100
#ncov_fut : number of covariates 
61
###########################################################
#  | hindcast
#  | H16_CMIP5_CESM_BIO_rcp85
#  | H16_CMIP5_CESM_rcp45
#  | H16_CMIP5_CESM_rcp85
#  | H16_CMIP5_GFDL_BIO_rcp85
#  | H16_CMIP5_GFDL_rcp45
#  | H16_CMIP5_GFDL_rcp85
#  | H16_CMIP5_MIROC_rcp45
#  | H16_CMIP5_MIROC_rcp85
#  | K20P19_CMIP5_CESM_rcp45
#  | K20P19_CMIP5_CESM_rcp85
#  | K20P19_CMIP5_GFDL_rcp45
#  | K20P19_CMIP5_GFDL_rcp85
#  | K20P19_CMIP5_MIROC_rcp45
#  | K20P19_CMIP5_MIROC_rcp85
#  | K20P19_CMIP6_cesm_ssp126
#  | K20P19_CMIP6_cesm_ssp585
#  | K20P19_CMIP6_gfdl_ssp126
#  | K20P19_CMIP6_gfdl_ssp585
#  | K20P19_CMIP6_miroc_ssp126
#  | K20P19_CMIP6_miroc_ssp585
###########################################################
# fall_Cop_integrated
-1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468 -1.026468
-0.8828858 0.7949414 1.50131 -1.085411 -1.074372 -0.4170446 -1.109038 -1.450692 1.926444 0.9288704 -2.190458 1.209174 1.234996 2.407963 2.154176 0.8980916 -1.890026 -0.8257162 -1.010591 1.338234 -1.102644 -0.3444402 0.07529435 -1.712618 -1.171032 1.157736 -0.287515 -1.970604 -2.108358 -2.031798 -0.3556896 1.163164 -2.439063 -0.8803119 -2.39704 -2.177125 -0.4083842 -3.147233 -2.140411 -2.259847 -2.650691 -1.233076 -2.469008 -2.461834 -1.859662 -2.524417 -2.383927 -2.29307 -2.09231 -1.628402 -2.372056 -1.272248 -2.367439 -2.536761 -2.873717 -1.901755 -2.678377 -2.391074 -3.279654 -1.661324 -3.495759 -2.83183 -2.970669 -3.607689 -3.542724 -3.066811 -1.711486 -4.177781 -3.575134 -3.321746 -3.248464 -2.136099 -3.405506 -2.744551 -3.808889 -3.723572 -3.713613 -3.610903 -3.610903
-1.736568 -0.1886587 -1.727371 0.07316151 1.494796 -0.4518707 -1.140568 -0.02457427 -0.7822288 -2.847968 -1.482585 0.3207307 -0.06406329 -0.5363122 1.877348 0.6846149 1.008189 -0.8050406 -0.6737305 -2.158389 -1.958593 -0.01993863 -1.117239 -2.599458 -1.977427 -3.607818 -3.286787 -2.003009 -1.580904 -3.586882 -1.402809 0.2290847 -0.04367443 -0.5808008 -4.382224 -1.785703 -2.540517 -1.684163 -2.235447 -2.525117 -3.610376 -0.5823682 -1.933573 -0.3654846 -3.326458 -0.9581924 -0.6143285 -2.441635 -2.847149 -2.621193 -0.1187576 -2.464603 -3.96424 -3.635035 -2.940491 -2.958891 -2.45374 -1.471528 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205 -3.077205
-1.005239 1.588269 1.38431 -0.6917439 -0.7555999 -0.8075848 1.446556 -1.99407 2.804494 1.418133 -1.65259 1.191945 2.432199 1.915963 1.506705 0.09544074 -2.013139 -0.607282 -1.281505 0.7526956 -0.8787003 -1.743727 -0.2426663 -2.350892 -1.930817 1.701311 -0.6103005 -2.316581 -2.434761 -2.387744 -1.357969 0.8040017 -2.798142 -1.672675 -3.126667 -3.13667 -1.399162 -3.123184 -2.641072 -2.74169 -2.77146 -2.750374 -2.635649 -2.806295 -2.591558 -2.542293 -3.121123 -2.41885 -2.117548 -2.893353 -2.773001 -2.002326 -3.000029 -3.232756 -4.060784 -2.200559 -3.470954 -3.392808 -3.822398 -2.662379 -3.920844 -2.904376 -3.288246 -4.01077 -3.944559 -3.472751 -2.302026 -4.305578 -3.837822 -3.574577 -3.346722 -2.6717 -3.605074 -2.737086 -3.835155 -3.815086 -3.719977 -3.958787 -3.958787
-1.608866 2.234274 -1.735422 -0.8251868 0.3684898 0.3411018 -0.6288855 -2.465034 1.029972 -0.130705 0.6737715 0.3773255 1.127894 1.612511 1.917245 2.221022 2.090391 0.5053257 -0.1057691 1.353061 -1.21354 -1.949719 -4.561051 -2.113713 -3.129203 -0.9739202 -4.023508 -3.888393 -3.395753 -2.76156 -1.165574 0.0945144 -0.6846032 -0.2479285 -0.07243503 -1.573734 -1.896331 -2.794374 -0.7501901 1.189439 -1.681773 -1.929225 0.4835904 -1.238711 0.7327773 -2.144746 0.3182654 -2.494634 -3.251425 0.1634092 -0.6475224 -1.603166 0.1728562 -1.240554 -3.834361 -3.881588 -4.359045 -3.63823 -3.537086 -3.988807 -1.74396 -2.584021 -3.732597 -3.050038 -4.329467 -2.964742 -1.882336 -3.555369 -4.309172 -2.302867 -0.7702156 -0.343043 -1.019015 -2.66877 -2.096365 -4.568307 -4.363026 -0.6427535 -0.6427535
1.741773 0.4145584 1.009028 -2.057894 1.161402 1.673822 -0.5710973 -2.142145 -0.5382521 1.937117 -0.2941265 0.2834267 1.068098 -0.1018932 2.611562 -0.4316335 0.05705761 0.1682529 0.2159027 -0.6850158 -2.099382 3.569208 0.7725792 -1.977302 1.488194 -0.8915964 0.3309258 -2.381234 1.43667 -0.02038649 -0.1186783 1.20322 1.89597 2.271291 -0.1631048 0.5391354 0.4845779 0.6558709 0.5538941 -0.4122011 -2.893593 1.582083 1.01584 0.08074985 -0.797519 -1.246075 -1.651754 -0.5255551 -1.058008 2.782562 0.7048116 -2.073931 -2.238015 0.03929686 0.8895742 -1.149887 -2.215812 -0.9616736 -2.958001 3.923474 -1.633091 2.744915 0.3272942 1.756554 2.210113 2.505186 1.300342 -3.213161 1.161731 2.165163 -0.5971351 1.424625 1.19449 -1.951248 -1.238015 2.383186 0.6269779 -0.4920283 -0.4920283
