"","","Pred_demand_yr_MSM_3"
"1",1979,5238440120.69722
"2",1980,6726260049.1889
"3",1981,8314658723.57438
"4",1982,9269339918.56152
"5",1983,8890688084.44362
"6",1984,8606885795.54453
"7",1985,9870988063.45381
"8",1986,9016060615.58448
"9",1987,9347578811.64782
"10",1988,7382533238.90005
"11",1989,6872296848.56722
"12",1990,7361305879.77582
"13",1991,7118568218.09833
"14",1992,7026771027.03941
"15",1993,9501064464.58502
"16",1994,9073906086.33212
"17",1995,7333617679.23862
"18",1996,7337986153.41996
"19",1997,6622254553.21591
"20",1998,8159316585.8325
"21",1999,6473796460.49336
"22",2000,6674268440.28422
"23",2001,7473137482.72454
"24",2002,7271600385.49608
"25",2003,8343652953.90124
"26",2004,6160062031.70388
"27",2005,5853084020.3495
"28",2006,4787834871.38088
"29",2007,4780982235.90735
"30",2008,5196146637.6334
"31",2009,6171155115.0181
"32",2010,8581878605.8787
"33",2011,8232377855.21155
"34",2012,6758906167.2451
"35",2013,9395137189.69016
"36",2014,10516190849.4785
"37",2015,10892074397.9473
"38",2016,10620064477.2035
"39",2017,8017921636.92377
"40",2018,7746540617.8473
"41",2019,9768651121.8354
"42",2020,9366786043.7829
"43",2021,9929709957.9965
"44",2022,8657971807.4796
"45",2023,8482281627.4779
"46",2024,8219858318.9003
