"","","Pred_demand_yr_MSM_2"
"1",1979,4894532908.62502
"2",1980,6369230926.49088
"3",1981,7885664323.23482
"4",1982,8686081194.82901
"5",1983,8269648782.17356
"6",1984,8110681616.38086
"7",1985,9235721906.35506
"8",1986,8433903906.17487
"9",1987,8754541154.08473
"10",1988,7046473485.73779
"11",1989,6575019641.11925
"12",1990,7209310038.77848
"13",1991,6984447946.68093
"14",1992,6872846588.02785
"15",1993,9336893875.5528
"16",1994,8785346142.59461
"17",1995,7083578963.87856
"18",1996,7008202918.51955
"19",1997,6277318550.64838
"20",1998,7685646851.69503
"21",1999,6197596536.10104
"22",2000,6348566651.44266
"23",2001,7109160732.50079
"24",2002,6928287770.37588
"25",2003,7883404566.09916
"26",2004,5852517931.15836
"27",2005,5488555408.78876
"28",2006,4470766740.36145
"29",2007,4341630951.8127
"30",2008,4654638170.72508
"31",2009,5376449256.49166
"32",2010,7466089062.10813
"33",2011,7328324308.27566
"34",2012,6082870497.59014
"35",2013,8589265512.99002
"36",2014,9680713195.6278
"37",2015,10208158235.8491
"38",2016,10070666084.6405
"39",2017,7642160470.56292
"40",2018,7273859168.36972
"41",2019,8989052647.40506
"42",2020,8552802208.08241
"43",2021,9237303491.9086
"44",2022,8153139708.0341
"45",2023,9257887520.4104
