"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1979,0.592711,0.0163386,0.0086737,0.0042916,0.00105668,0.00142027,0.000683871,0.00117404,0.000633485,0,0.000543898,0.00030431
"2",1980,0.833509,0.0148395,0.00680369,0.00349346,0.000812453,0.00114868,0.000547517,0.000745777,0.000677446,0,0.000213797,0.000325664
"3",1981,0.934275,0.016678,0.00703956,0.00377247,0.00104997,0.00130749,0.000861511,0.000930058,0.00104764,0,0.00012489,0.000723176
"4",1982,1.27743,0.0326154,0.0135218,0.00663576,0.00157358,0.00245029,0.00176205,0.00136447,0.0022884,0,9.49902e-05,0.00165624
"5",1983,1.06624,0.0306963,0.0120673,0.00696005,0.00166231,0.00200637,0.00189246,0.00125263,0.00263409,0,9.15082e-05,0.00110088
"6",1984,1.27397,0.0389621,0.0161766,0.00964777,0.0030913,0.00324805,0.00278074,0.00245456,0.00335148,0,0.000163991,0.00189766
"7",1985,1.32792,0.0450458,0.0203784,0.0111606,0.00319615,0.0040426,0.0037764,0.00293173,0.00459399,0,0.00043482,0.00370252
"8",1986,1.45109,0.0475427,0.0220073,0.0131344,0.00279765,0.00351241,0.00524762,0.00306327,0.00730058,0,0.000438806,0.00352033
"9",1987,1.66668,0.0627593,0.0286399,0.0190354,0.00529728,0.00535824,0.00714083,0.00481516,0.00904082,0,0.00061624,0.00226863
"10",1988,1.61791,0.0741952,0.033759,0.0188604,0.00634436,0.00684663,0.00540228,0.00542894,0.00572166,0,0.00194083,0.0029364
"11",1989,1.56293,0.0940944,0.043214,0.0251322,0.00752824,0.00838633,0.00736926,0.0071259,0.00877415,0,0.00328424,0.00600495
"12",1990,1.15071,0.0603788,0.0288304,0.0174478,0.0048047,0.00511221,0.00618735,0.00466264,0.00825567,0,0.000874337,0.00431621
"13",1991,1.22064,0.0595427,0.0289776,0.0179062,0.00493681,0.00555503,0.00702319,0.00523044,0.00933604,0,0.00078833,0.00394502
"14",1992,1.18759,0.0463999,0.0224029,0.0144845,0.00400001,0.00437628,0.00534063,0.00429195,0.00716359,0,0.00124218,0.00255051
