"","X.W..Pollock.Age.1","X.W..Pollock.Age.2","X.W..Pollock.Age.3","X.W..Pollock.Age.4","X.W..Pollock.Age.5","X.W..Pollock.Age.6","X.W..Pollock.Age.7","X.W..Pollock.Age.8","X.W..Pollock.Age.9","X.W..Pollock.Age.10","X.W..Pollock.Age.11","X.W..Pollock.Age.12","P..Cod.Age.1","P..Cod.Age.2","P..Cod.Age.3","P..Cod.Age.4","P..Cod.Age.5","P..Cod.Age.6","P..Cod.Age.7","P..Cod.Age.8","P..Cod.Age.9","P..Cod.Age.10","P..Cod.Age.11","P..Cod.Age.12","Arrowtooth.Age.1","Arrowtooth.Age.2","Arrowtooth.Age.3","Arrowtooth.Age.4","Arrowtooth.Age.5","Arrowtooth.Age.6","Arrowtooth.Age.7","Arrowtooth.Age.8","Arrowtooth.Age.9","Arrowtooth.Age.10","Arrowtooth.Age.11","Arrowtooth.Age.12","Arrowtooth.Age.13","Arrowtooth.Age.14","Arrowtooth.Age.15","Arrowtooth.Age.16","Arrowtooth.Age.17","Arrowtooth.Age.18","Arrowtooth.Age.19","Arrowtooth.Age.20","Arrowtooth.Age.21"
"1",0.644323,0.3262056,0.3149154,0.30815972,0.30257821,0.30287412,0.30197843,0.30342796,0.3017408,0.3001,0.30161179,0.30110178,0.480161,0.3925523,0.38186653,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.428287,0.2841379,0.26678413,0.25637062,0.24936155,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"2",0.882931,0.3249573,0.3126207,0.30680143,0.30190509,0.30239306,0.30181439,0.30264129,0.30199262,0.3001,0.301033184,0.30127388,0.520119,0.3938087,0.380962761,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.528732,0.2941048,0.26595304,0.25577463,0.249191882,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"3",1.02239,0.3326831,0.3147261,0.30877506,0.30255278,0.30280701,0.30258061,0.30318178,0.3031883,0.3001,0.300931309,0.30139537,0.631222,0.3931473,0.380849557,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.641565,0.2885525,0.2751502,0.25602399,0.25061638,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"4",1.41522,0.3650139,0.3294786,0.3160257,0.30510193,0.30601259,0.30471122,0.30536611,0.30548029,0.3001,0.300935599,0.30384333,0.790639,0.4169143,0.380713646,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.768325,0.2830265,0.3055466,0.25645702,0.25022359,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"5",1.15611,0.3582648,0.3282574,0.3162506,0.30470806,0.30557382,0.30560424,0.30544007,0.30723801,0.3001,0.30146945,0.30500853,0.691473,0.4266871,0.380649796,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.661569,0.276739,0.3006528,0.25569476,0.25146604,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"6",1.34225,0.3634691,0.3319622,0.3201276,0.30525877,0.30584069,0.30840805,0.30614884,0.311634,0.3001,0.301076989,0.30580616,0.67903,0.4422014,0.38114258,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.652315,0.3001896,0.2902329,0.25682209,0.2568077,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"7",1.37992,0.3617687,0.3313844,0.3203218,0.30568651,0.30611598,0.30822446,0.30652484,0.310803,0.3001,0.30171745,0.30393745,0.728349,0.4357982,0.380835971,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.775578,0.2842675,0.2778927,0.25739219,0.2584725,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"8",1.51686,0.3710838,0.3355443,0.3224382,0.30722356,0.30731407,0.30753642,0.30730799,0.30890906,0.3001,0.30346869,0.3028906,0.7608,0.4346962,0.38135226,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.78696,0.2865003,0.2852711,0.25667328,0.25631481,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"9",1.75599,0.405848,0.3558743,0.3353898,0.312395,0.3123568,0.3102936,0.3137314,0.310626,0.3001,0.30847059,0.3058116,0.884771,0.451644,0.38502427,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.801316,0.2912115,0.3253021,0.25799816,0.25607255,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"10",1.6837,0.414511,0.3599325,0.3347073,0.3103518,0.3110417,0.3118016,0.3116577,0.3137875,0.3001,0.30573387,0.30957908,0.775537,0.491212,0.38679605,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.966472,0.2821706,0.2997874,0.25940781,0.25393314,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"11",1.63241,0.425344,0.3677494,0.3461324,0.3131931,0.3128058,0.3172283,0.3184451,0.3219798,0.3001,0.30601755,0.3074801,1.029524,0.4594007,0.38755816,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.857116,0.2766909,0.3064742,0.2701305,0.2706743,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"12",1.14526,0.3771448,0.3429515,0.3249949,0.30945844,0.30954365,0.30928403,0.3105654,0.30932691,0.3001,0.30287288,0.30468051,0.657323,0.4558352,0.38331286,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.579045,0.2842109,0.2876471,0.26141459,0.25493935,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"13",1.20557,0.3654659,0.3369206,0.3233312,0.3069934,0.30826743,0.30738257,0.3109644,0.30905609,0.3001,0.3071117,0.30409948,0.642159,0.431119,0.38199007,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.651256,0.2753065,0.2782732,0.26037546,0.25534956,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"14",1.16928,0.348378,0.3246107,0.3161088,0.30495909,0.30451724,0.30529745,0.30539371,0.30668937,0.3001,0.30245396,0.30213703,0.595412,0.4118553,0.38356399,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.615394,0.3053953,0.2708881,0.2572266,0.2538695,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"15",1.22047,0.3319851,0.3163663,0.30859574,0.30303181,0.30324334,0.30257588,0.30399377,0.30291419,0.3001,0.30162851,0.30132209,0.595696,0.3948046,0.38127551,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.604892,0.2818758,0.271804,0.25652506,0.25018766,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"16",1.57633,0.3568781,0.3260002,0.3147802,0.3043456,0.30495874,0.30389989,0.30496924,0.30516488,0.3001,0.30229891,0.30276517,0.703324,0.4129051,0.38156608,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.786007,0.2921913,0.2844564,0.25663057,0.24965898,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"17",1.49265,0.3649538,0.3305496,0.3178177,0.30557015,0.30606082,0.30567757,0.30663622,0.30745387,0.3001,0.30164294,0.30411317,0.773175,0.4093239,0.38167956,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.707944,0.2820911,0.3105435,0.25708975,0.2530962,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"18",1.3057,0.3674338,0.3335555,0.3177285,0.30524345,0.30619609,0.30676906,0.30583552,0.30868245,0.3001,0.30113727,0.30601114,0.654322,0.4498916,0.38160733,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.785926,0.2879904,0.2867638,0.25714402,0.25080447,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"19",1.16776,0.3551702,0.3283311,0.3181051,0.30467369,0.30515812,0.30675621,0.30642119,0.30981985,0.3001,0.30188446,0.30337942,0.728352,0.4121253,0.380603857,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.635363,0.2813647,0.2882649,0.25779226,0.25761719,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
"20",1.49236,0.3773566,0.3384252,0.3227837,0.30757808,0.30773412,0.3083156,0.30667501,0.30960078,0.3001,0.30146534,0.30488499,0.712345,0.4571864,0.38178938,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.3801,0.796855,0.2910471,0.2897513,0.25624589,0.25411301,0.2435,0.239,0.2348,0.231,0.2275,0.2243,0.2214,0.2188,0.2165,0.2144,0.2126,0.211,0.2095,0.2083,0.2072,0.2063
